brand,model,screen_size,color,harddisk,cpu,ram,OS,graphics,price
ROKC,Vector GP66 12UGS-267,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,589.99
HP,Vector GP66 12UGS-267,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,999.99
MSI,Vector GP66 12UGS-267,15.66,Core Black,512.0,Intel Core i9,32.0,Windows 11 Home,Dedicated,1599.0
Apple,MacBook Air,13.3,Silver,256.0,Unknown,8.0,Mac OS,Integrated,689.99
Apple,MacBook Air,15.3,Midnight,256.0,Unknown,8.0,Mac OS,Integrated,1144.48
Acer,A315-24P-R7VH,15.6,Silver,128.0,Ryzen 3,8.0,Windows 11 S,Integrated,299.99
Apple,MacBook Pro,13.3,Space Gray,256.0,Unknown,8.0,Mac OS,Integrated,965.08
Acer,CB315-3HT,15.6,Silver,64.0,Celeron N4020,4.0,Chrome OS,Integrated,239.99
ASUS,ROG Strix G16,16.0,Eclipse Gray,512.0,Core i7,16.0,Windows 11 Home,Dedicated,1274.03
acer,A515-56-347N,15.6,Silver,128.0,Core I3 1115G4,8.0,Windows 11 S,Integrated,299.99
acer,AN515-58-57Y8,15.6,Black,512.0,Core i5,16.0,Windows 11 Home,Dedicated,814.77
HP,Notebook,14.0,Grey,1.0,Ryzen 3 3250U,16.0,Windows 11,Integrated,379.99
ROKC,Vector GP66 12UGS-267,15.6,Blue,1152.0,Pentium,20.0,Windows 11,Integrated,389.99
HP,Vector GP66 12UGS-267,15.6,Black,1000.0,Pentium N5000,16.0,Windows 11,Integrated,459.99
ROKC,Ideapad 3,15.6,Gray,1000.0,Intel Core i5,20.0,Windows 11,Integrated,639.99
acer,Nitro 17,17.3,Black,1.0,AMD Ryzen 7,16.0,Windows 11 Home,Dedicated,1199.99
HP,hp laptop,15.6,Black,1.0,Intel Core i3,16.0,Windows 11 Home,Integrated,473.0
Gateway,Vector GP66 12UGS-267,11.6,Blue,64.0,Celeron N4020,4.0,Windows 10 S,Integrated,155.0
ASUS,FX506HF-ES51,15.6,Graphite Black,512.0,Core i5,8.0,Windows 11 Home,Dedicated,699.99
MSI,Thin GF63 12VE-066US,15.6,Black,512.0,Core i7,16.0,Windows 11 Home,RTX 4050,938.0
Lenovo,IdeaPad 3 81X800ENUS,15.6,Almond,256.0,Core i3,20.0,Windows 11,Integrated,419.0
Lenovo,IdeaPad Gaming 3,15.6,Onyx Grey,256.0,Ryzen 5,8.0,Windows 11 Home,Dedicated,801.96
ASUS,ROG Strix G16,16.0,Eclipse Gray,1.0,Intel Core i9,16.0,Windows 11 Home,Dedicated,1799.99
HP,Chromebook 14a-na0226nr,14.0,Mineral Silver,64.0,Celeron,4.0,Chrome OS,Integrated,249.0
HP,TPN-I139_320M3AV,17.3,Silver,1.0,Core i3 Family,32.0,Windows 11 Home,Integrated,510.0
HP,i5 12th Gen 15-dy5399nr,15.6,Silver,512.0,Core i5,16.0,Windows 11 Home,Integrated,527.15
ASUS,ROG Strix G16,16.0,Eclipse Gray,512.0,Core i9,32.0,Windows 11 Pro,Dedicated,2199.0
MSI,Stealth GS66 12UGS-025,15.6,Core Black,512.0,Intel Core i9,32.0,Windows 11 Home,Dedicated,1699.0
DELL,Inspiron,16.0,Silver,1000.0,Intel Core i5,32.0,Windows 11,Integrated,899.99
ROKC,Vector GP66 12UGS-267,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,589.99
HP,Vector GP66 12UGS-267,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,999.99
MSI,Vector GP66 12UGS-267,15.66,Core Black,512.0,Intel Core i9,32.0,Windows 11 Home,Dedicated,1599.0
Lenovo,IdeaPad,14.0,Grey,1.0,Core i3 Family,20.0,Windows 11 Home,Integrated,359.0
HP,HP Chromebook,14.0,Gray,64.0,Celeron N,4.0,Chrome OS,Integrated,209.99
Lenovo,Ideapad 3i,15.6,Arctic Grey,512.0,Core i5,8.0,Windows 11 Pro,Integrated,637.35
Dell,Inspiron,15.6,Black,1.0,Celeron N4020,16.0,Windows 11 Home,Integrated,439.0
acer,CP314-1H-P1Q5,14.0,Silver,128.0,Pentium,8.0,Chrome OS,Integrated,372.66
